MRT,SERIAL_NO,address
文德,2011051800000646,臺北市  內湖區內湖路2段175號
中正紀念堂,2011051800000096,臺北市  中正區南海路49號
關渡,2011051800000049,臺北市  士林區菁山路101巷170號
西門,2011051800000352,臺北市  萬華區成都路10號
松山,2011051800000300,臺北市  松山區八德路4段761號
關渡,2011051800000320,臺北市  北投區知行路360號
北投,2011051800000199,臺北市  北投區幽雅路32號
葫洲,2011051800000655,臺北市  內湖區康樂街
臺大醫院,2011051800000137,臺北市  中正區臺北市懷寧街、襄陽路、公園路、凱達格蘭大道口
劍潭,2011051800000100,臺北市  士林區士商路189號
木柵,2011051800000272,臺北市  文山區萬壽路115號
忠孝新生,2011051800000377,臺北市  中山區八德路2段85號
市政府,2012032000000001,臺北市  信義區光復南路133號
圓山,2011051800000260,臺北市  大同區哈密街61號
芝山,2011051800000041,臺北市  士林區士林橋
劍潭,2011051800000120,臺北市  北投區陽明路2段15號
龍山寺,2011051800000364,臺北市  萬華區廣州街101號
公館,2011051800000125,臺北市  中正區思源街1號
新北投,2011051800000061,臺北市  北投區中山路、光明路沿線
雙連,2011051800000007,臺北市  大同區環河北路一段
士林,2011051800000129,臺北市  士林區福林路60號
士林,2011051800000092,臺北市  士林區至善路二段221號
新北投,2011051800000693,臺北市  北投區光明路251號
圓山,2011051800000037,臺北市  士林區基隆河左、右岸
大湖公園,2011051800000642,臺北市  內湖區成功路5段31號
大直,2011051800000116,臺北市  中山區北安路139號
關渡,2011051800000011,臺北市  北投區關渡碼頭
劍潭,2011051800000033,臺北市  士林區延平北路七段
石牌,2011051800000086,臺北市  士林區中山北路7段232巷
中山,2011051800000141,臺北市  大同區長安西路39號
中山,2011051800000158,臺北市  中山區中山北路2段18號
圓山,2011051800000133,臺北市  中山區中山北路3段181號
忠義,2011051800000584,臺北市  北投區中央北路4段18巷50號
動物園,2011051800000025,臺北市  文山區木柵路
松江南京,2011051800000244,臺北市  中山區建國北路1段 96 號 B1
雙連,2011051800000432,臺北市  萬華區華中二疏散門入口
新北投,2011051800000660,臺北市  北投區中山路2號
中山,2011051800000292,臺北市  大同區迪化街1段61號
國父紀念館,2011051800000112,臺北市  信義區仁愛路4段505號
士林,2011051800000567,臺北市  士林區竹子湖路1-20號(陽明山國家公園管理處)
動物園,2011051800000689,臺北市  文山區新光路二段30號
劍潭,2011051800000057,臺北市  北投區竹子湖路1之20號
唭哩岸,2011051800000029,臺北市  北投區關渡
大安森林公園,2011051800000574,臺北市  大安區新生南路以東、信義路3段以南
新北投,2011051800000685,臺北市  北投區中山路
象山,2011051800000550,臺北市  信義區信義路五段150巷
龍山寺,2011051800000288,臺北市  萬華區廣州街211號
行天宮,2011051800000276,臺北市  中山區民權東路2段109號
新北投,2011051800000676,臺北市  北投區中山路6號
中正紀念堂,2011051800000108,臺北市  中正區中山南路21號
市政府,2011051800000186,臺北市  信義區市府路1號1-4樓
動物園,2011051800000557,臺北市  文山區指南路三段33巷
新北投,2011051800000145,臺北市  北投區中山路二號
關渡,2011051800000205,臺北市  北投區中央北路四段515巷16號
忠孝新生,2011051800000424,臺北市  中正區八德路1段1號
臺大醫院,2011051800000596,臺北市  中正區中山南路11號
台北101／世貿,2011051800001090,臺北市  信義區信義路5段7號
龍山寺,2012021000000001,臺北市  萬華區萬大路底華中橋旁
